y_true,y_hat,date
65.0,62.564842,2022-03-01 15:03:35
117.0,111.33719,2022-03-01 15:05:00
130.0,144.28256,2022-03-01 15:07:19
67.0,64.729416,2022-03-01 15:09:29
51.0,57.714535,2022-03-01 15:10:36
126.0,137.40753,2022-03-01 15:11:32
87.0,75.50406,2022-03-01 15:13:51
71.0,63.792236,2022-03-01 15:15:49
117.0,113.721146,2022-03-01 15:17:12
129.0,139.18994,2022-03-01 15:19:45
79.0,65.724014,2022-03-01 15:21:54
54.0,58.157436,2022-03-01 15:23:33
145.0,135.62631,2022-03-01 15:24:33
54.0,76.34346,2022-03-01 15:27:34
47.0,64.48683,2022-03-02 08:37:23
37.0,54.16661,2022-03-02 08:38:10
129.0,141.97813,2022-03-02 08:38:58
75.0,82.18643,2022-03-02 08:41:22
72.0,69.69209,2022-03-02 08:42:37
107.0,118.55251,2022-03-02 08:43:58
154.0,142.4318,2022-03-02 08:45:55
71.0,63.690987,2022-03-02 08:48:37
50.0,53.8049,2022-03-02 08:49:51
144.0,142.50955,2022-03-02 08:50:46
66.0,79.143555,2022-03-02 08:53:13
63.0,70.378204,2022-03-02 08:54:19
93.0,116.806755,2022-03-02 08:55:23
67.0,71.23956,2022-03-02 08:55:29
91.0,65.775055,2022-03-02 08:56:36
139.0,144.70082,2022-03-02 08:56:56
117.0,108.3317,2022-03-02 08:58:23
52.0,62.552315,2022-03-02 08:59:15
41.0,53.340187,2022-03-02 09:00:07
147.0,137.11407,2022-03-02 09:00:23
70.0,58.59714,2022-03-02 09:03:11
50.0,51.004566,2022-03-02 09:04:34
137.0,141.74922,2022-03-02 09:05:16
129.0,136.25932,2022-03-02 09:05:59
72.0,79.89784,2022-03-02 09:07:35
64.0,70.57431,2022-03-02 09:08:22
66.0,70.468506,2022-03-02 09:08:47
53.0,68.23381,2022-03-02 09:09:53
98.0,114.45952,2022-03-02 09:09:53
97.0,109.69944,2022-03-02 09:10:59
137.0,145.13208,2022-03-02 09:11:31
141.0,135.31102,2022-03-02 09:13:14
54.0,63.09722,2022-03-02 09:13:48
42.0,53.688858,2022-03-02 09:14:42
60.0,58.249184,2022-03-02 09:15:52
77.0,50.62565,2022-03-02 09:17:21
133.0,134.38626,2022-03-02 09:18:44
66.0,70.61111,2022-03-02 09:21:13
83.0,63.207745,2022-03-02 09:22:19
121.0,106.27099,2022-03-02 09:23:42
88.0,79.23288,2022-03-02 09:33:22
66.0,56.617737,2022-03-02 09:33:28
73.0,68.08836,2022-03-02 09:34:50
111.0,114.69804,2022-03-02 09:36:12
132.0,145.14792,2022-03-02 09:38:03
62.0,63.41437,2022-03-02 09:40:15
57.0,55.37493,2022-03-02 09:41:17
139.0,140.66739,2022-03-02 09:42:14
81.0,81.55221,2022-03-02 09:44:33
61.0,70.175446,2022-03-02 09:45:54
105.0,116.553635,2022-03-02 09:46:55
140.0,143.93213,2022-03-02 09:48:40
57.0,63.71225,2022-03-02 09:51:00
54.0,57.530834,2022-03-02 09:51:57
131.0,141.06253,2022-03-02 09:52:51
74.0,83.67001,2022-03-02 09:55:05
74.0,67.7534,2022-03-02 09:56:19
114.0,114.0166,2022-03-02 09:57:40
141.0,143.48117,2022-03-02 09:59:57
92.0,73.29425,2022-03-02 10:02:17
52.0,63.074997,2022-03-02 10:02:24
46.0,55.941826,2022-03-02 10:03:37
73.0,64.82097,2022-03-02 10:04:03
131.0,140.20801,2022-03-02 10:04:34
121.0,109.46373,2022-03-02 10:05:16
81.0,82.617905,2022-03-02 10:06:54
150.0,134.93398,2022-03-02 10:07:24
70.0,68.87187,2022-03-02 10:08:15
53.0,56.53045,2022-03-02 10:10:17
80.0,50.0403,2022-03-02 10:11:10
162.0,133.45477,2022-03-02 10:12:30
164.0,146.67401,2022-03-02 10:12:38
91.0,76.75325,2022-03-02 10:15:12
99.0,65.81273,2022-03-02 10:16:43
102.0,112.65279,2022-03-02 10:18:27
121.0,137.65701,2022-03-02 10:26:20
72.0,68.79179,2022-03-02 10:30:28
114.0,111.78239,2022-03-02 10:31:40
141.0,138.94589,2022-03-02 10:33:34
45.0,83.65814,2022-03-02 10:38:21
38.0,68.7173,2022-03-02 10:39:06
98.0,112.78952,2022-03-02 10:39:44
86.0,136.51779,2022-03-02 10:40:57
148.0,148.41365,2022-03-02 10:41:22
89.0,70.61264,2022-03-02 10:42:41
55.0,61.920116,2022-03-02 10:44:04
63.0,61.07699,2022-03-02 10:44:27
44.0,56.317806,2022-03-02 10:44:59
136.0,129.96448,2022-03-02 10:45:46
96.0,108.23841,2022-03-02 10:45:49
82.0,77.82628,2022-03-02 10:48:02
95.0,134.34651,2022-03-02 10:48:07
54.0,64.48563,2022-03-02 10:49:24
40.0,54.75496,2022-03-02 10:49:42
50.0,51.10144,2022-03-02 10:50:22
113.0,110.02347,2022-03-02 10:50:23
140.0,139.31973,2022-03-02 10:52:16
41.0,60.290306,2022-03-02 10:54:36
38.0,53.880157,2022-03-02 10:55:17
144.0,130.13097,2022-03-02 10:55:58
73.0,83.830086,2022-03-02 10:58:22
60.0,65.45775,2022-03-02 10:59:35
117.0,112.06701,2022-03-02 11:00:40
133.0,136.98935,2022-03-02 11:02:37
39.0,60.132538,2022-03-02 11:04:50
44.0,54.053444,2022-03-02 11:05:29
137.0,139.21777,2022-03-02 11:06:13
