y_true,y_hat,date
73.0,76.542915,2022-03-02 10:51:12
150.0,120.64225,2022-03-02 10:55:21
154.0,137.93954,2022-03-02 11:19:34
74.0,90.30465,2022-03-02 11:22:22
145.0,131.29752,2022-03-02 11:23:36
107.0,109.73312,2022-03-02 11:26:15
112.0,115.46391,2022-03-02 11:28:49
181.0,187.15083,2022-03-02 11:31:08
69.0,72.460754,2022-03-02 11:34:32
129.0,130.40219,2022-03-02 11:36:09
118.0,116.85551,2022-03-02 11:38:41
87.0,89.89015,2022-03-02 11:41:00
141.0,153.6471,2022-03-02 11:48:03
113.0,116.74044,2022-03-02 13:24:12
188.0,187.80673,2022-03-02 13:33:06
69.0,73.01984,2022-03-02 13:37:02
128.0,130.1271,2022-03-02 13:38:33
116.0,117.435974,2022-03-02 13:41:03
88.0,90.120735,2022-03-02 13:43:21
142.0,154.66434,2022-03-02 13:45:42
102.0,110.782135,2022-03-02 13:48:04
102.0,116.73914,2022-03-02 13:49:46
192.0,188.62535,2022-03-02 13:51:28
76.0,71.4282,2022-03-02 13:57:07
128.0,130.16664,2022-03-02 13:58:45
116.0,117.248985,2022-03-02 14:01:16
89.0,90.27383,2022-03-02 14:23:16
60.0,66.56695,2022-03-02 14:25:09
73.0,77.06676,2022-03-02 14:26:16
107.0,117.814125,2022-03-02 14:27:57
149.0,123.23403,2022-03-02 14:29:53
143.0,142.69872,2022-03-02 14:32:36
140.0,135.5051,2022-03-02 14:35:08
77.0,92.62784,2022-03-02 14:38:14
126.0,136.91743,2022-03-02 14:39:31
107.0,110.54348,2022-03-02 14:41:50
112.0,115.0652,2022-03-02 14:43:49
183.0,189.78026,2022-03-02 14:45:49
69.0,71.604546,2022-03-02 14:49:14
134.0,130.2969,2022-03-02 14:50:45
121.0,117.22558,2022-03-02 14:53:10
88.0,90.46338,2022-03-02 14:55:54
63.0,64.61995,2022-03-02 14:58:06
84.0,77.62179,2022-03-02 14:59:20
106.0,113.447365,2022-03-02 15:00:59
109.0,123.2843,2022-03-02 15:02:53
144.0,142.37448,2022-03-02 15:04:53
131.0,133.34326,2022-03-02 15:07:23
77.0,93.15896,2022-03-02 15:09:46
130.0,137.29779,2022-03-02 15:11:03
112.0,115.44709,2022-03-02 15:18:50
184.0,189.46356,2022-03-02 15:20:57
69.0,71.856575,2022-03-02 15:26:15
128.0,131.37387,2022-03-02 15:27:46
88.0,90.26078,2022-03-02 15:37:13
145.0,155.7992,2022-03-02 15:39:45
112.0,116.18711,2022-03-02 17:25:47
191.0,189.57521,2022-03-02 17:27:57
68.0,71.483986,2022-03-02 17:31:23
132.0,131.63338,2022-03-02 17:32:41
126.0,118.8229,2022-03-02 17:35:07
88.0,89.31168,2022-03-02 17:37:35
223.0,155.56999,2022-03-02 17:39:16
124.00001,114.35013,2022-03-08 09:04:53
182.0,189.46455,2022-03-08 09:07:19
69.0,70.54487,2022-03-08 09:10:43
138.0,130.4607,2022-03-08 09:12:14
115.0,118.81463,2022-03-08 09:14:55
88.0,89.18127,2022-03-08 09:17:12
57.0,64.29066,2022-03-08 09:19:01
104.0,108.79084,2022-03-08 09:23:16
191.0,116.084694,2022-03-08 09:25:50
132.0,140.51416,2022-03-08 09:29:15
162.0,128.66537,2022-03-08 09:31:59
113.0,117.49785,2022-03-08 11:16:17
197.0,188.97043,2022-03-08 11:18:39
69.0,71.37281,2022-03-08 11:22:18
130.0,131.85495,2022-03-08 11:23:49
81.0,89.810196,2022-03-08 11:28:55
58.0,64.72405,2022-03-08 11:30:45
72.0,79.097305,2022-03-08 11:32:05
105.0,109.1822,2022-03-08 11:33:45
133.0,124.47104,2022-03-08 11:36:20
172.0,140.80533,2022-03-08 11:40:43
155.0,133.78171,2022-03-08 11:43:56
99.0,91.09718,2022-03-08 11:46:54
126.0,135.76172,2022-03-08 11:48:33
107.0,111.1818,2022-03-08 11:50:56
113.0,117.5665,2022-03-08 11:52:55
184.0,190.14566,2022-03-08 11:55:02
72.0,71.68164,2022-03-08 11:58:53
129.0,131.09161,2022-03-08 12:00:25
116.0,118.48983,2022-03-08 12:02:43
88.0,89.67886,2022-03-08 12:04:53
59.0,64.33935,2022-03-08 12:06:40
73.0,78.42386,2022-03-08 12:07:51
105.0,109.13724,2022-03-08 12:09:27
140.0,145.65698,2022-03-08 12:15:13
144.0,135.47476,2022-03-08 12:17:33
74.0,92.576164,2022-03-08 12:19:57
118.0,135.41656,2022-03-08 12:21:11
113.0,117.57093,2022-03-08 13:34:39
181.0,189.78888,2022-03-08 13:36:54
